crdid,number,title,artist,gallery
436970,318,Penelope,0,0
282190,318,Pierrot Laughing,Nadar ,0
307651,317,Water Deity (Chalchiuhtlcue),0,358
436022,317,The Source,Gustave Courbet ,811
436455,316,Evening: Landscape with an Aqueduct,0,802
17053,316,Boys in a Dory,Winslow Homer ,0
489307,316,Blue Green Red,Ellsworth Kelly ,915
451402,316,"""The Elephant Clock"", Folio from a Book of the Knowledge of Ingenious Mechanical Devices by al-Jazari",      Farrukh ibn `Abd al-Latif,0
489978,315,Three Men Walking II,Alberto Giacometti ,907
317618,314,Illuminated Gospel,0,351
266427,314,Now!,Adam Fuss ,0
437130,314,Apples and Grapes,Claude Monet ,0
464369,313,Mourner,0,305
482117,313,"""MR"" Armchair",  Ludwig Mies van der Rohe ,0
10522,312,Daniel Crommelin Verplanck,John Singleton Copley ,748
82419,311,0,      House of Dior ,0
205485,311,0,". 1774, with later additions",527
435885,310,View of the Domaine Saint-Joseph,0,825
488570,309,"""Fortissimo""",0,900
282040,309,[Landscape with Clouds],Roger Fenton ,0
468106,309,Tapestry with the Annunciation,0,0
437136,309,Regatta at Sainte-Adresse,Claude Monet ,818
39184,309,The Bodhisattva Avalokiteshvara Seated in Royal Ease,Angkor period,249
192716,308,Madonna and Child with Angels,Antonio Rossellino ,605
437385,308,"Man in Oriental Costume (""The Noble Slav"")",Rembrandt ,637
435773,308,The Weeders,Jules Breton ,802
271890,307,[Thomas Eakins and John Laurie Wallace on a Beach],Thomas Eakins ,0
81103,307,Evening dress,  Weeks ,0
325511,306,Cup with a frieze of gazelles,Iron Age II,404
436159,306,The Singer in Green,Edgar Degas ,816
436156,306,The Rehearsal Onstage,Edgar Degas ,816
486683,305,Night Creatures,Lee Krasner ,0
482491,305,Attic,Willem de Kooning ,920
481986,304,Music Stand,  Wharton Esherick ,0
329076,304,"Shaft-hole axe head with bird-headed demon, boar, and dragon",Bronze Age,403
470311,303,Enthroned Virgin and Child,0,4
466251,303,Processional Cross,0,303
464360,301,Plaque with Agnus Dei on a Cross between Emblems of the Four Evangelists,0,304
22860,301,Sallet in the Shape of a Lion's Head,0,373
437672,301,0,Paul Signac ,826
24937,300,0, Signature probably refers to Jean Drouart ,376
459082,300,Portrait of Gerard de Lairesse,Rembrandt ,958
436866,299,Graziella,Jules-Joseph Lefebvre ,0
470328,298,The Intercession of Christ and the Virgin,Attributed to Lorenzo Monaco ,305
466096,297,Opus Anglicanum (Chasuble),te 15th century,14
324289,297,Fluted bowl,Achaemenid,405
22634,296,Burgonet, Filippo Negroli ,374
483189,294,Odalisque,Anthony Caro ,0
208816,294,Lion (one of a pair), Meissen Manufactory ,533
11865,294,The Mountain Man,Frederic Remington ,765
22387,293,0,  Peter Peck ,375
437426,293,View of the Seacoast near Wargemont in Normandy,Auguste Renoir ,0
459007,292,The Nativity,Lorenzo Monaco ,952
469837,292,Plaque with Saint John the Evangelist,rly 9th century,14
209329,292,Tapestry Room from Croome Court,  Room after a design by Robert Adam ,516
334710,291,"The Kaunitz Sisters (Leopoldine, Caroline, and Ferdinandine)",Jean Auguste Dominique Ingres ,0
21940,291,0,ttributed to Heinrich Heid von Winterthur ,373
436448,291,A Farm in Brittany,Paul Gauguin ,0
437383,290,Pandora,Odilon Redon ,829
459192,289,Seated Woman,Antoine Watteau ,0
39649,289,"Bowl with three dragons among waves

",Five Dynasties ,204
436548,289,Majas on a Balcony,Attributed to Goya ,612
11120,288,"Fishing Boats, Key West",Winslow Homer ,0
446648,288,Dish,d-16th century,460
466045,288,Crucified Christ,0,0
337062,288,"Self-Portrait, from The Iconography",          The Iconography,0
470314,287,Cloister from Saint-Michel-de-Cuxa,0,7
10830,287,Elijah Boardman,Ralph Earl ,755
437431,287,"Hills around the Bay of Moulin Huet, Guernsey",Auguste Renoir ,0
265550,286,0,T. Lux Feininger ,0
437322,285,Portrait of a Woman,Piero del Pollaiuolo ,0
44850,285,Illustrated Legends of the Kitano Shrine (Kitano Tenjin Engi),Kamakura period ,0
12138,284,Mountain Stream,John Singer Sargent ,0
24927,283,0,  Johan Adolph Grecke ,375
438435,283,0,Claude Monet ,818
436961,283,Peonies,0,0
11325,283,Sunset on the Sea,John Frederick Kensett ,761
544080,283,Leopard-Head Girdle of Sithathoryunet,Middle Kingdom,0
466105,282,Booklet with Scenes of the Passion,0,626
13758,281,Lilacs in a Window (Vase de Lilas a la Fenetre),Mary Cassatt ,0
438144,280,"The ""Kearsarge"" at Boulogne",0,818
451042,280,0,a`far ibn Muhammad ibn `Ali,453
13647,280,"Quilt Top, Crazy pattern",. 1885,0
255391,279,Bronze mirror with a support in the form of a draped woman,Classical,156
9334,279,Vase,ulper Pottery Company ,743
436950,279,The Dead Christ with Angels,0,810
483898,278,Necklace,0,0
437656,278,The Gardener,Georges Seurat ,0
253343,278,Chalcedony scaraboid,uted to Epimenes,157
435884,278,"Still Life with Jar, Cup, and Apples",0,825
310279,278,Mask,0,358
12388,277,A Basket of Clams,Winslow Homer ,0
437989,277,Dish of Apples,0,822
79595,277,Tokuseu Hitome Sohshibori Hon Furisode,  Takuo Itoh ,0
483565,277,"The Steeplechase, Coney Island",Milton Avery ,0
451715,277,Bowl Emulating Chinese Stoneware,     Bowl,451
471061,276,Lion,ter 1200,1
438432,276,Madonna and Child,Francesco Granacci ,609
436583,276,Study Head of a Woman,Jean-Baptiste Greuze ,615
471904,276,The Crucifixion,Master of the Codex of Saint George ,14
469858,276,"Diptych with Scenes of the Annunciation, Nativity, Crucifixion, and Resurrection",0,14
486009,275,"Mt. Katahdin, Maine, No. 2",Marsden Hartley ,900
437824,274,Madonna and Child,Titian ,607
44757,274,Ritual Object (Bi),"Neolithic period, Liangzhu culture ",207
312429,274,Sculptural Element from a Reliquary Ensemble: Head (The Great Bieri),0,352
544089,273,Relief Fragment Showing Waterfowl in a Clapnet,Middle Kingdom,104
327399,273,Vessel terminating in the forepart of a stag,Hittite Empire,403
81105,273,0,0,0
453344,273,Pierced Window Screen,     Screen,450
4923,273,The Magnolia Vase,      Manufactured by Tiffany & Co. ,706
435904,272,Still Life with a Skull and a Writing Quill,Pieter Claesz ,635
448183,272,"""Krishna Holds Up Mount Govardhan to Shelter the Villagers of Braj"", Folio from a Harivamsa (The Legend of Hari (Krishna))",     Folio from an illustrated manuscript,0
23367,272,Sword,. 1400,370
436525,271,Bouquet of Flowers in a Vase,Vincent van Gogh ,823
282756,271,Wrack,William Henry Fox Talbot ,0
470600,270,The Adoration of the Shepherds,Bartolo di Fredi ,8
437317,270,Still Life with Apples and Pitcher,Camille Pissarro ,820
436322,270,The Love Letter,0,615
543937,270,Mastaba Tomb of Perneb,Old Kingdom,100
459196,270,17r. The Huntington Avenue Streetcar; 17v. Blank,Maurice Brazil Prendergast  ,0
23216,269,Tournament Helm (Stechhelm),. 1500,373
27789,269,0,    Long sword ,0
10499,269,The Titan's Goblet,Thomas Cole ,759
282043,268,"Zoe, Maid of Athens",Julia Margaret Cameron ,0
24860,268,0,      Hilt by Israel Schuech ,376
437402,268,Woman with a Pink,Rembrandt ,634
22932,266,Presentation Smallsword,   James Morisset ,376
271716,266,Screaming woman with blood on her hands,Diane Arbus ,0
23948,265,Shield of Henry II of France,. 1555,374
436095,265,The Third-Class Carriage,0,802
436850,264,0,Sir Thomas Lawrence ,629
266784,264,Still from an Untitled Film,Cindy Sherman ,0
327066,264,Seated female,Halaf,402
266537,264,Arbeitslos,August Sander ,0
310364,264,"Vessel, Mythological Scene",0,358
44842,263,None,Heian period ,224
324444,263,Standard with two long-horned bulls,Early Bronze Age III,403
544062,262,Horses Harnessed to a Chariot,"New Kingdom, Amarna Period",121
267426,262,Julia Jackson,Julia Margaret Cameron ,0
325089,259,"Tribute bearer with an oryx, a monkey, and a leopard skin",Neo-Assyrian,0
191259,259,Stove,ttributed to the pottery of David II Pfau ,505
435622,258,Diana and Cupid,Pompeo Batoni ,620
81128,258,Chadri,th century,0
335240,256,Bacchanal,Nicolas Poussin ,0
465966,255,Crib of the Infant Jesus,th century,306
27791,255,Burgonet with Falling Buffe,. 1550,374
437536,255,Wolf and Fox Hunt,Peter Paul Rubens ,628
544088,255,Otter statue,Late Period or Ptolemaic Period,134
544083,254,Genet Amulet,Late Period,127
3141,254,Desk and bookcase,0,717
437244,254,Ancient Rome,Giovanni Paolo Panini ,620
6635,254,Pocket bottle,ttributed to American Flint Glass Manufactory ,704
311950,254,"Mask (Buk, Krar, or Kara)",d to late 19th century,354
435848,253,The Birth of the Virgin,Fra Carnevale ,603
267087,253,[Landscape with Cottage],Marie-Charles-Isidore Choiselat ,0
336256,253,The Entrance Hall of the Regensburg Synagogue,Albrecht Altdorfer ,0
22876,253,Tournament or Cavalry Shield (Targe),. 1450,373
437854,253,Whalers,Joseph Mallord William Turner ,808
438003,252,0,Claude Monet ,821
437490,252,The Annunciation,Hans Memling ,640
451802,251,Bowl with Arabic Inscription,     Bowl,450
459072,251,Margaret of Austria,Jean Hey ,953
437587,250,Marine,Salomon van Ruysdael ,638
437137,249,Water Lilies,Claude Monet ,819
437245,247,Modern Rome,Giovanni Paolo Panini ,620
436293,247,Still Life with Flowers and Fruit,Henri Fantin-Latour ,824
447509,247,Carpet with Triple-arch Design,     Carpet,0
38648,247,Torso of a Bodhisattva,Probably Sahri-Bahlol Workshop,235
88645,247,"""Oyster Dress""",  Alexander McQueen ,0
37801,246,Portrait of Jnanatapa Attended by Lamas and Mahasiddhas,. 1350,253
79091,246,Cape,cond half 16th century,0
329079,245,Stele of Ushumgal,Early Dynastic I,403
267363,245,"San Zaccaria, Venice",Thomas Struth ,0
464125,245,Casket with Scenes from Romance,0,14
470308,244,"Beaker (""Monkey Cup"")",0,14
324432,244,Jar with a frieze of bulls,Iron Age III,400
475513,244,Set of Fifty-Two Playing Cards,0,13
337498,244,0,Giovanni Paolo Panini ,0
337058,244,"The Judgment of Paris; he is sitting at left with Venus, Juno and Pallas Athena, a winged victory above; in the upper section the Sun in his chariot preceeded by Castor and Pollux on horseback; at lower right two river gods and a naiad above whom Jupiter, an eagle, Ganymede, Diana and another Goddess",Marcantonio Raimondi ,0
470603,243,0,0,16
189164,243,Bedroom from the Sagredo Palace,Stuccowork probably by Abbondio Stazio of Massagno ,507
500709,243,0,th century,0
436945,243,Mademoiselle V. . . in the Costume of an Espada,0,810
252452,242,Bronze hydria (water jar),Classical,156
486598,241,The Flesh Eaters,William Baziotes ,913
437920,241,A Vase with Flowers,Jacob Vosmaer ,635
544081,241,Jerboa figurine,Middle Kingdom,111
436485,240,Vanitas Still Life,Jacques de Gheyn II ,635
269442,240,0,Alfred Stieglitz ,0
1997,239,Chest,ossibly William Searle ,708
453336,239,A Stallion,Painting by Habiballah of Sava ,0
436038,239,Judith with the Head of Holofernes,Lucas Cranach the Elder ,643
329075,239,"Man carrying a box, possibly for offerings",Early Dynastic I-II,403
326623,239,Rhyton terminating in the forepart of a wild cat,Parthian,405
81130,239,Dress,0,0
312336,239,Mother and Child,0,350
313256,238,Mirror-Bearer,h century,358
469949,238,Aquamanile in the Form of a Lion,. 1400,1
471911,238,Portal from the Church of San Leonardo al Frigido,Workshop of Biduinus ,2
435875,237,0,0,962
312460,237,Headdress,0,352
264711,237,0,Timothy H. O'Sullivan ,0
435852,237,Two Children Teasing a Cat,Annibale Carracci ,623
448401,236,Crescent-Shaped Pendant with Confronted Birds,     Pendant,454
436176,236,Christ Asleep during the Tempest,0,801
81118,236,Coatdress,0,0
436090,236,Landscape with a Sunlit Stream,0,0
436531,236,Peasant Woman Cooking by a Fireplace,Vincent van Gogh ,826
466198,236,Leaf from a Beatus Manuscript: Christ in Majesty with Angels and  the Angel of God Directs Saint John to Write the Book of Revelation,. 1180,0
337088,236,Portrait of an Ecclesiastic,Jean Fouquet ,0
22405,235,Rowel Spur,. 1400,373
1047,235,Bureau table,ttributed to John Townsend ,752
436128,234,Woman with a Towel,Edgar Degas ,817
12015,234,The Puritan,Augustus Saint-Gaudens ,774
82426,234,Court dress,. 1750,0
269436,234,[Dance Study],Adolf de Meyer ,0
206918,233,Pan,"Andrea Briosco, called Riccio ",536
450409,233,Enameled and Gilded Bottle,     Bottle,450
436138,233,Dancers in the Rehearsal Room with a Double Bass,Edgar Degas ,815
37609,233,Krishna on Garuda,Central Javanese period,247
40001,232,Dish with Recumbent Elephant Surrounded by Clouds,0,250
437871,232,The Supper at Emmaus,0,610
265166,232,The Octopus,Alvin Langdon Coburn ,0
4282,231,High chest of drawers,0,751
436174,231,A Woman Ironing,Edgar Degas ,815
470599,231,Tomb Effigy of Jean d'Alluye,d-13th century,9
325717,231,Head of a king,Sasanian,405
326046,231,Head of a male,Old Babylonian,403
204533,231,Plate,"     Imperial Porcelain Manufactory, St. Petersburg",553
501788,231,Grand Piano,artolomeo Cristofori ,684
322626,230,Door lintel with lion-griffins and vase with lotus leaf,Parthian,406
37849,230,Krishna Battles the Armies of the Demon Naraka: Page from a Dispersed Bhagavata Purana Manuscript,0,0
314362,229,Seated Figure,th century,350
311021,229,Helmet Mask,fore 1880,352
45432,229,None,Joseon dynasty ,233
437299,228,"Jalais Hill, Pontoise",Camille Pissarro ,820
437655,228,The Forest at Pontaubert,Georges Seurat ,0
80591,228,Jacket,. 1785,0
437837,227,The Sofa,Henri de Toulouse-Lautrec ,817
324926,227,Panel with a male figure grasping a tree; winged sun disc above,Neo-Assyrian,400
10574,226,Genius of Mirth,Thomas Crawford ,758
27792,226,0, Armor attributed to Richard Holden ,371
544172,226,Upper Part of a Statue Representing a Man Called Iker,Middle Kingdom,107
438002,225,0,0,821
436170,225,Woman Combing Her Hair,Edgar Degas ,817
437119,225,0,Claude Monet ,819
322890,225,Furniture support: female sphinx with Hathor-style curls,0,403
438386,224,Lighthouse at Groix,Paul Signac ,0
466187,224,Altar Frontal with Man of Sorrows and Saints,. 1465,0
435879,224,The Pool at the Jas de Bouffan,0,825
79893,223,0,40s,0
329078,223,Foundation peg in the form of the forepart of a lion,Early Bronze Age,403
469844,223,Enthroned Virgin and Child,. 1300,14
453279,223,Calligraphic Plaque,     Plaque,462
436132,223,The Dance Lesson,Edgar Degas ,816
243823,223,Silver-gilt bowl,Archaic,174
325562,222,Head of a roaring lion,Neo-Assyrian,0
313386,222,"""Smiling"" Figure",0,358
503046,222,Grand Pianoforte,      Erard,684
437990,222,Seated Peasant,0,822
265903,222,"Kitchen Corner, Tenant Farmhouse, Hale County, Alabama",Walker Evans ,0
452111,221,"""The Feast of Sada"", Folio 22v from the Shahnama (Book of Kings) of Shah Tahmasp",Abu'l Qasim Firdausi ,462
438004,221,Poppy Fields near Argenteuil,Claude Monet ,821
435658,221,Madonna and Child,Berlinghiero ,602
250551,221,Terracotta neck-amphora (jar),uted to Exekias,155
471975,221,Diptych with the Coronation of the Virgin and the Last Judgment,0,14
310652,221,Feline-Head Bottle,0,357
435871,221,Gardanne,0,825
437835,220,0,Henri de Toulouse-Lautrec ,817
313830,220,Bis Pole,te 1950s,354
464607,220,Virgin of the Annunciation,0,304
322973,220,Plate with king hunting rams,Sasanian,405
466286,219,Crossbow Brooch,. 400,301
436963,219,Strawberries,0,0
437852,219,"Saltash with the Water Ferry, Cornwall",Joseph Mallord William Turner ,808
438015,218,"Gray Weather, Grande Jatte",Georges Seurat ,823
436910,218,Portrait of a Young Woman,Lorenzo di Credi ,605
436952,218,The Funeral,0,810
437754,218,After the Ball,Alfred Stevens ,0
436491,218,Selvaggia Sassetti (born 1470),Davide Ghirlandaio ,605
464596,217,The Visitation,Attributed to Master Heinrich of Constance ,304
3152,217,Desk and Bookcase,. 1811,723
265465,217,Compass,Man Ray ,0
437393,217,The Toilet of Bathsheba,Rembrandt ,634
435866,217,Apples,0,825
459205,216,The Last Supper,Designed by Bernard van Orley ,959
14932,216,The Green Cushion,Irving Ramsey Wiles ,0
435880,216,Rocks in the Forest,0,825
489403,216,"Elegy to the Spanish Republic, 70",Robert Motherwell ,0
327459,216,Cylinder seal: royal worshiper before a god on a throne with bulls' legs; human-headed bulls below,Old Syrian,403
436305,216,Still Life,Georg Flegel ,635
544171,216,Statue of a Seated Man in a Cloak,Middle Kingdom,111
12477,216,"The Wyndham Sisters: Lady Elcho, Mrs. Adeane, and Mrs. Tennant",John Singer Sargent ,771
437300,216,"A Cowherd at Valhermeil, Auvers-sur-Oise",Camille Pissarro ,820
438007,215,The Path through the Irises,Claude Monet ,822
436172,215,Woman Drying Her Foot,Edgar Degas ,817
437099,215,Woman with a Rake,0,802
336773,215,Usuyuki,Jasper Johns ,0
322375,214,Gravestone with funerary banquet,0,406
267271,214,Untitled,Charles Ray ,0
327434,214,Cylinder seal: Ishtar image and a worshiper below a canopy flanked by winged genies,Neo-Assyrian,0
208555,214,0,0,544
15541,214,Hugh Hall,John Singleton Copley ,0
436052,214,Madonna and Child,Carlo Crivelli ,627
544078,213,Amulet in the Form of a Lion-Headed Goddess,Third Intermediate Period,127
437269,213,"January: Cernay, near Rambouillet",0,0
335663,213,Youth Playing a Pipe for a Satyr,Giovanni Benedetto Castiglione ,0
11207,212,The Flower Girl,Charles Cromwell Ingham ,756
483039,212,Merengue en Boca Chica,Rafael Ferrer ,0
435683,212,Island of the Dead,0,0
437978,211,Christ Presented to the People (Ecce Homo),Sodoma ,609
436037,210,The Judgment of Paris,Lucas Cranach the Elder ,643
464604,210,Tabernacle of Cherves,0,304
459202,209,Aquamanile in the Form of Aristotle and Phyllis,te 14th or early 15th century,958
435899,209,The Annunciation,Attributed to Petrus Christus ,641
451379,209,Bowl with Astronomical and Royal Figures,     Bowl,453
437054,208,Virgin and Child with Saints Catherine of Alexandria and Barbara,Hans Memling ,641
6906,208,Corner chair,ttributed to Joseph Armitt ,752
447000,208,Mosque Lamp for the Mausoleum of Amir Aydakin al-'Ala'i al-Bunduqdar,     Mosque lamp,454
503045,208,"""The Gould"" Violin",ntonio Stradivari ,684
459207,207,The Right Hand of God Protecting the Faithful against the Demons,Jean Fouquet ,0
1674,207,Side Chair,ttributed to Samuel McIntire ,723
315786,207,Tunic,0,0
466070,207,"Manuscript Leaf with the Crucifixion, from a Missal",0,0
446642,206,Silk Animal Carpet,     Carpet,0
319459,206,"Pair of Earflares, Winged Messengers",0,0
437870,205,0,0,0
24907,205,Dagger and Sheath,0,463
81131,205,Suit,      House of Chanel ,0
437392,205,"Herman Doomer (born about 1595, died 1650)",Rembrandt ,637
193506,205,Processional cross,0,500
194622,205,0,ean Henri Riesener ,528
16947,205,Flight Into Egypt,Henry Ossawa Tanner ,766
192729,204,Triton,Giambologna ,0
200668,204,0,Jean Antoine Houdon ,552
336046,204,0,0,0
249186,204,Ivory decorative plaque,Archaic,152
436678,204,The Visit,Pieter de Hooch ,632
24320,203,Saber,d-16th century,460
310563,203,Drum,t century,357
267019,203,"American Barque ""Jane Tudor,"" Conway Bay",David Johnson ,0
437314,202,The Garden of the Tuileries on a Winter Afternoon,Camille Pissarro ,820
544096,202,Butterfly amulet,Middle Kingdom,109
436167,202,"Two Dancers, Half-length",Edgar Degas ,0
81106,202,Evening dress,  Gianni Versace ,0
191843,202,0,Auguste Rodin ,800
437425,202,0,Auguste Renoir ,824
24948,201,0,    Blade inscribed by Rai Kunitoshi ,378
437528,201,The Holy Family with Saints Francis and Anne and the Infant Saint John the Baptist,Peter Paul Rubens ,628
435814,201,A Basket of Flowers,Jan Brueghel the Younger ,635
253569,201,Marble funerary altar of Cominia Tyche,Flavian or Trajanic,162
465937,201,Lectern for the Reading of the Gospels with the Eagle of Saint John the Evangelist,Giovanni Pisano ,305
81114,200,Coat,      House of Chanel ,0
24681,200,Flintlock Rifle,  Jacob Kuntz ,372
22275,200,Elements of a Light-Cavalry Armor,. 1510,373
3497,200,Easy Chair,aleb Gardner ,0
436449,200,The Siesta,Paul Gauguin ,823
435752,199,Young Mother Gazing at Her Child,William Bouguereau ,827
436102,199,Virgin and Child with Four Angels,Gerard David ,640
314034,199,Prestige Stool: Female Caryatid,"Buli Master, possibly Ngongo ya Chintu ",352
248876,199,Agate Lentoid,Late Minoan II,0
334769,198,Samson and Delilah,Albrecht Altdorfer ,0
437993,198,At the Milliner's,Edgar Degas ,821
489559,198,Tennis at Newport,George Bellows ,900
459191,197,"Study for ""Les Poseuses""",Georges Seurat ,0
453183,197,The House of Bijapur,Painting by Kamal Muhammad ,0
60007408,197,0,0,0
435725,197,Christ's Descent into Hell,Style of Hieronymus Bosch ,642
438820,196,Young Ladies of the Village,Gustave Courbet ,812
437097,196,Haystacks: Autumn,0,802
436895,196,Madonna and Child Enthroned with Two Angels,Fra Filippo Lippi ,603
24623,196,Sword Guard (Tsuba),        Inscribed by Ishiguro Masayoshi ,378
435867,196,Bathers,0,825
438816,196,The Forest in Winter at Sunset,0,802
44637,196,Storage Jar,Muromachi period ,0
437311,195,0,Camille Pissarro ,820
466124,195,Square-Headed Bow Brooch,h century,301
24693,195,Shield,ttributed to Girolamo da Treviso ,374
591824,195,"""Alberti Dvreri pictoris et architecti praestantissimi De vrbibvs...""",0,0
437868,195,0,0,0
591866,195,Hiho / henshu iin,0,0
468207,195,0,"rved 1000s, assembled 1100s or 1200s",300
436435,195,0,Thomas Gainsborough ,629
200,194,Spindle-back armchair,0,708
81112,194,Ball gown,      House of Worth ,0
470307,194,The Pentecost,0,304
436771,194,0,Daniele da Volterra ,609
437429,194,Still Life with Peaches,Auguste Renoir ,824
437306,194,Bather in the Woods,Camille Pissarro ,820
469879,193,Saltcellar,d-13th century,14
81107,193,Coat,. 1833,0
437330,193,Saints Peter and John Healing the Lame Man,Nicolas Poussin ,0
12600,193,Francis Brinley,John Smibert ,747
436173,192,Woman Having Her Hair Combed,Edgar Degas ,817
39492,192,Pan Box in the Shape of a Duck,. 1700,0
436252,192,0,Anthony van Dyck ,628
436603,192,Samson Captured by the Philistines,Guercino ,601
485934,191,"The Businessman Max Roesberg, Dresden",Otto Dix ,903
313546,191,Helmet Mask  (Temes Mbalmbal),d-20th century,354
485914,191,Terrifying Terrain,Elizabeth Murray ,0
23939,190,0, Made under the direction of Jacob Halder ,371
503678,190,Square Piano,unns and Clark,736
324027,190,Figure of a bull,. mid-1st millennium B.C.,406
436951,189,Fishing,0,810
464366,188,Mourner,0,305
490759,188,Prototype tea service,  Eliel Saarinen ,0
437382,187,Vase of Flowers (Pink Background),Odilon Redon ,813
436703,187,0,Jean Auguste Dominique Ingres ,801
326374,187,Reclining mouflon,Mature Harappan,403
438427,186,The Lamentation,Ludovico Carracci ,601
266982,186,"[Female Nude, Reclining, in Profile]",Julien Vallou de Villeneuve ,0
481504,186,The Kittiwake and The John Walton,Fairfield Porter ,0
24648,186,Powder Horn,ted 1759,372
466182,186,Embroidery with the Annunciation,d-15th century,0
271954,186,Untitled,Francesca Woodman ,0
437398,186,Flora,Rembrandt ,637
256911,186,Marble bust of a bearded man,"Mid-Imperial, Antonine",162
435724,186,The Adoration of the Magi,Hieronymus Bosch ,640
24861,185,"Cased Set of a Flintlock Rifle, a Pair of Pistols, and Accessories",0,375
464443,185,Plaque with the Journey to Emmaus and Noli Me Tangere,0,304
468633,185,Aquamanile in the Form of a Mounted Knight,. 1250,304
266859,184,[Light],Jean-Marc Bustamante ,0
459190,184,Perseus and the Origin of Coral,Claude Lorrain ,0
436853,184,Lady Maria Conyngham (died 1843),Sir Thomas Lawrence ,0
437825,184,Portrait of a Man,Titian ,607
24685,184,Helmet (Spangenhelm),0,370
436745,184,Two Angels,North Italian Painter ,602
453341,184,Mango-Shaped Flask,     Flask,463
13315,184,The Trout Pool,Worthington Whittredge ,761
436574,184,Portrait of an Old Man,El Greco ,611
82103,184,"""Cyclone""",      House of Lanvin ,0
437396,183,0,Rembrandt ,637
337061,183,Astronomicum Caesareum,Michael Ostendorfer ,0
437332,182,Girl with Cherries,Attributed to Giovanni Ambrogio de Predis ,608
319458,181,Pair of Diviner's Figures,0,0
436880,181,The Organ Rehearsal,Henry Lerolle ,827
436579,181,Broken Eggs,Jean-Baptiste Greuze ,615
436636,181,Still Life with a Glass and Oysters,Jan Davidsz de Heem ,635
265556,180,"Penny Picture Display, Savannah",Walker Evans ,0
272071,180,[Abandoned House],Walker Evans ,0
437609,179,The Holy Family with the Young Saint John the Baptist,Andrea del Sarto ,609
466311,179,Column Statue of a King,0,304
437994,179,Race Horses,Edgar Degas ,821
199404,178,Ewer,0,510
436258,178,Self-Portrait,Anthony van Dyck ,628
11999,178,Diana,Augustus Saint-Gaudens ,769
256974,177,Marble stele (grave marker) of a youth and little girl with capital and finial in the form of a sphinx,Archaic,154
437470,177,The Mouth of a Cave,Hubert Robert ,524
4785,177,Library Table,erter Brothers ,743
310453,177,Power Figure: Male (Nkisi),0,352
464559,177,Chasse of Champagnat,. 1150,304
325865,177,Ewer with dancing females within arcades,Sasanian,405
252453,176,Marble column from the Temple of Artemis at Sardis,Hellenistic,160
24813,175,Helmet,te 15th century,379
437159,175,Young Woman Knitting,Berthe Morisot ,0
437520,175,Sunset near Arbonne,0,802
329229,175,0,0,0
337057,175,Bacchanal with a Wine Vat,Andrea Mantegna ,0
466254,175,Three Holy Women at the Holy Sepulcher,rly 10th century,14
482599,175,Lady of the Lake,Horace Pippin ,911
435988,174,Ville-d'Avray,Camille Corot ,803
437438,174,Young Girl in a Pink-and-Black Hat,Auguste Renoir ,0
310073,173,Shield (Grere'o [?]),rly to mid-19th century,0
436892,173,Madonna and Child,Filippino Lippi ,603
437898,173,0,0,613
544214,173,Travelling Boat being Rowed,Middle Kingdom,105
436791,173,The Annunciation,Joos van Cleve ,639
316945,173,Border Fragment,0,0
436570,172,The Adoration of the Shepherds,El Greco ,611
464341,172,Reliquary Statuette of Saint Christopher,0,305
24953,172,0,0,450
207667,172,0,arquetry by Alexandre-Jean Oppenordt ,531
446151,172,Stand for a Qur'an Manuscript,ain,450
271717,172,Chicago,Harry Callahan ,0
435976,172,The Letter,Camille Corot ,803
82880,171,Evening dress,0,0
435753,171,The Proposal,William Bouguereau ,0
11789,171,Andrew Jackson,Hiram Powers ,760
436482,171,Prayer in the Mosque,0,804
436516,171,The Triumph of Fame; (reverse) Impresa of the Medici Family and Arms of the Medici and Tornabuoni Families,Giovanni di ser Giovanni Guidi ,604
436634,170,A Vase of Flowers,Margareta Haverman ,0
437821,170,The Miracle of the Loaves and Fishes,Jacopo Tintoretto ,607
81116,169,Evening dress,  Edward Molyneux ,0
503676,169,Double Virginal,ans Ruckers the Elder ,0
446285,169,Panel from a Rectangular Box,     Panel,457
436163,169,Three Dancers Preparing for Class,Edgar Degas ,0
435963,169,Bacchante by the Sea,Camille Corot ,803
452100,169,The 'Simonetti' Carpet,     Carpet,0
503614,168,Harpsichord,an Couchet the Elder ,0
488596,168,The Blind Man's Meal,Pablo Picasso ,0
488756,168,0,Stuart Davis ,913
544118,167,Cat Statuette,Macedonian-Ptolemaic Period,134
437371,167,The Agony in the Garden,Raphael ,609
334245,166,Leonidas at Thermopylae,Jacques Louis David ,0
81115,166,Evening dress,  Claire McCardell ,0
437377,166,"Madame Arthur Fontaine (Marie Escudier, born 1865)",Odilon Redon ,813
437106,166,Spring (Fruit Trees in Bloom),Claude Monet ,0
466129,166,The Attarouthi Treasure - Chalice,0,300
591843,166,"Encyclopedie, ou, Dictionnaire raisonne des sciences, des arts et des metiers",Denis Diderot ,0
501691,165,Ceramic Horn,te 18th or early 19th century,684
464023,165,Processional Cross,0,304
337700,165,Hercules Chasing Avarice from the Temple of the Muses,Ugo da Carpi ,0
486315,165,Five P.M.,Jennifer Bartlett ,0
437428,165,Still Life with Peaches and Grapes,Auguste Renoir ,824
438000,164,Three Tahitian Women,Paul Gauguin ,823
266133,164,"The Town on the Hill, New Almaden",Carleton E. Watkins ,0
435881,164,Still Life with a Ginger Jar and Eggplants,0,825
